index,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,variance,AUC,
4514,2,1,0,-4,-2,3,5,6,5,7,5,-5,-3,0,14.24489796,0.993252718,[0.992093840669-0.994411595306]
4515,2,1,0,-5,-2,3,5,6,5,7,5,-5,-3,0,15.08673469,0.993252718,[0.992093840669-0.994411595306]
4523,2,1,0,-4,-3,3,5,6,5,7,5,-5,-3,0,14.80102041,0.993252718,[0.992093840669-0.994411595306]
4524,2,1,0,-5,-3,3,5,6,5,7,5,-5,-3,0,15.63265306,0.993252718,[0.992093840669-0.994411595306]
4529,2,1,0,-5,-4,3,5,6,5,7,5,-5,-3,0,16.31122449,0.993252718,[0.992093840669-0.994411595306]
2336,2,1,0,-1,0,3,4,5,4,6,4,-4,-2,1,7.658163265,0.993230335,[0.992070966182-0.994389703892]
2362,2,1,0,-1,0,3,4,6,5,7,5,-5,-3,0,11.34693878,0.993230335,[0.992070966182-0.994389703892]
4016,2,1,0,-2,0,3,4,5,4,6,4,-4,-2,1,8.102040816,0.993230335,[0.992070966182-0.994389703892]
4025,2,1,0,-3,0,3,4,5,4,6,4,-4,-2,1,8.678571429,0.993230335,[0.992070966182-0.994389703892]
4028,2,1,0,-4,0,3,4,5,4,6,4,-4,-2,1,9.387755102,0.993230335,[0.992070966182-0.994389703892]
4078,2,1,0,-2,0,3,4,6,5,7,5,-5,-3,0,11.80102041,0.993230335,[0.992070966182-0.994389703892]
4110,2,1,0,-3,0,3,4,6,5,7,5,-5,-3,0,12.3877551,0.993230335,[0.992070966182-0.994389703892]
4111,2,1,0,-4,0,3,4,6,5,7,5,-5,-3,0,13.10714286,0.993230335,[0.992070966182-0.994389703892]
4112,2,1,0,-5,0,3,4,6,5,7,5,-5,-3,0,13.95918367,0.993230335,[0.992070966182-0.994389703892]
4195,2,1,0,-2,-1,3,4,5,4,6,4,-4,-2,1,8.392857143,0.993230335,[0.992070966182-0.994389703892]
4204,2,1,0,-3,-1,3,4,5,4,6,4,-4,-2,1,8.959183673,0.993230335,[0.992070966182-0.994389703892]
4207,2,1,0,-4,-1,3,4,5,4,6,4,-4,-2,1,9.658163265,0.993230335,[0.992070966182-0.994389703892]
4219,2,1,0,-3,-2,3,4,5,4,6,4,-4,-2,1,9.37244898,0.993230335,[0.992070966182-0.994389703892]
4222,2,1,0,-4,-2,3,4,5,4,6,4,-4,-2,1,10.06122449,0.993230335,[0.992070966182-0.994389703892]
4225,2,1,0,-4,-3,3,4,5,4,6,4,-4,-2,1,10.59693878,0.993230335,[0.992070966182-0.994389703892]
4311,2,1,0,-2,-1,3,4,6,5,7,5,-5,-3,0,12.10204082,0.993230335,[0.992070966182-0.994389703892]
4343,2,1,0,-3,-1,3,4,6,5,7,5,-5,-3,0,12.67857143,0.993230335,[0.992070966182-0.994389703892]
4344,2,1,0,-4,-1,3,4,6,5,7,5,-5,-3,0,13.3877551,0.993230335,[0.992070966182-0.994389703892]
4345,2,1,0,-5,-1,3,4,6,5,7,5,-5,-3,0,14.22959184,0.993230335,[0.992070966182-0.994389703892]
4397,2,1,0,-3,-2,3,4,6,5,7,5,-5,-3,0,13.10204082,0.993230335,[0.992070966182-0.994389703892]
4398,2,1,0,-4,-2,3,4,6,5,7,5,-5,-3,0,13.80102041,0.993230335,[0.992070966182-0.994389703892]
4399,2,1,0,-5,-2,3,4,6,5,7,5,-5,-3,0,14.63265306,0.993230335,[0.992070966182-0.994389703892]
4407,2,1,0,-4,-3,3,4,6,5,7,5,-5,-3,0,14.34693878,0.993230335,[0.992070966182-0.994389703892]
4408,2,1,0,-5,-3,3,4,6,5,7,5,-5,-3,0,15.16836735,0.993230335,[0.992070966182-0.994389703892]
4413,2,1,0,-5,-4,3,4,6,5,7,5,-5,-3,0,15.83673469,0.993230335,[0.992070966182-0.994389703892]
2384,2,1,0,-1,0,4,5,6,5,7,5,-5,-4,0,12.73979592,0.993226904,[0.992062951150-0.994390857292]
4172,2,1,0,-2,0,4,5,6,5,7,5,-5,-4,0,13.20408163,0.993226904,[0.992062951150-0.994390857292]
4188,2,1,0,-3,0,4,5,6,5,7,5,-5,-4,0,13.80102041,0.993226904,[0.992062951150-0.994390857292]
4189,2,1,0,-4,0,4,5,6,5,7,5,-5,-4,0,14.53061224,0.993226904,[0.992062951150-0.994390857292]
4190,2,1,0,-5,0,4,5,6,5,7,5,-5,-4,0,15.39285714,0.993226904,[0.992062951150-0.994390857292]
4537,2,1,0,-2,-1,4,5,6,5,7,5,-5,-4,0,13.51530612,0.993226904,[0.992062951150-0.994390857292]
4553,2,1,0,-3,-1,4,5,6,5,7,5,-5,-4,0,14.10204082,0.993226904,[0.992062951150-0.994390857292]
4554,2,1,0,-4,-1,4,5,6,5,7,5,-5,-4,0,14.82142857,0.993226904,[0.992062951150-0.994390857292]
4555,2,1,0,-5,-1,4,5,6,5,7,5,-5,-4,0,15.67346939,0.993226904,[0.992062951150-0.994390857292]
4574,2,1,0,-3,-2,4,5,6,5,7,5,-5,-4,0,14.53571429,0.993226904,[0.992062951150-0.994390857292]
4575,2,1,0,-4,-2,4,5,6,5,7,5,-5,-4,0,15.24489796,0.993226904,[0.992062951150-0.994390857292]
4576,2,1,0,-5,-2,4,5,6,5,7,5,-5,-4,0,16.08673469,0.993226904,[0.992062951150-0.994390857292]
4583,2,1,0,-4,-3,4,5,6,5,7,5,-5,-4,0,15.80102041,0.993226904,[0.992062951150-0.994390857292]
4584,2,1,0,-5,-3,4,5,6,5,7,5,-5,-4,0,16.63265306,0.993226904,[0.992062951150-0.994390857292]
4588,2,1,0,-5,-4,4,5,6,5,7,5,-5,-4,0,17.31122449,0.993226904,[0.992062951150-0.994390857292]
2371,2,1,0,-1,0,3,5,6,5,7,4,-4,-1,0,9.352040816,0.993193945,[0.992056850893-0.994331039050]
4141,2,1,0,-2,0,3,5,6,5,7,4,-4,-1,0,9.836734694,0.993193945,[0.992056850893-0.994331039050]
4148,2,1,0,-3,0,3,5,6,5,7,4,-4,-1,0,10.45408163,0.993193945,[0.992056850893-0.994331039050]
4151,2,1,0,-4,0,3,5,6,5,7,4,-4,-1,0,11.20408163,0.993193945,[0.992056850893-0.994331039050]
4473,2,1,0,-2,-1,3,5,6,5,7,4,-4,-1,0,10.16836735,0.993193945,[0.992056850893-0.994331039050]
4480,2,1,0,-3,-1,3,5,6,5,7,4,-4,-1,0,10.7755102,0.993193945,[0.992056850893-0.994331039050]
4483,2,1,0,-4,-1,3,5,6,5,7,4,-4,-1,0,11.51530612,0.993193945,[0.992056850893-0.994331039050]
4498,2,1,0,-3,-2,3,5,6,5,7,4,-4,-1,0,11.22959184,0.993193945,[0.992056850893-0.994331039050]
4501,2,1,0,-4,-2,3,5,6,5,7,4,-4,-1,0,11.95918367,0.993193945,[0.992056850893-0.994331039050]
