Candidate	Score
Solution 346	0.9958003491 [0.995074486101-0.996526212179]
Solution 347	0.9958003491 [0.995074486101-0.996526212179]
Solution 348	0.9958002647 [0.995074399076-0.996526130417]
Solution 349	0.9958002647 [0.995074399076-0.996526130417]
Solution 350	0.9958000136 [0.995074143496-0.996525883700]
Solution 351	0.9958000136 [0.995074143496-0.996525883700]
Solution 352	0.9958003491 [0.995074486101-0.996526212179]
Solution 353	0.9958003491 [0.995074486101-0.996526212179]
Solution 354	0.9958002647 [0.995074399076-0.996526130417]
Solution 355	0.9958002647 [0.995074399076-0.996526130417]
Solution 356	0.9958002647 [0.995074399076-0.996526130417]
Solution 357	0.9958000136 [0.995074143496-0.996525883700]
Solution 358	0.9958000136 [0.995074143496-0.996525883700]
Solution 359	0.9958000136 [0.995074143496-0.996525883700]
Solution 360	0.9958003491 [0.995074486101-0.996526212179]
Solution 361	0.9958003491 [0.995074486101-0.996526212179]
Solution 362	0.9958003491 [0.995074486101-0.996526212179]
Solution 363	0.9958002647 [0.995074399076-0.996526130417]
Solution 364	0.9958000136 [0.995074143496-0.996525883700]
Solution 365	0.9958002647 [0.995074399076-0.996526130417]
Solution 366	0.9958000136 [0.995074143496-0.996525883700]
Solution 367	0.9958002647 [0.995074399076-0.996526130417]
Solution 368	0.9958000136 [0.995074143496-0.996525883700]
Solution 369	0.9958003491 [0.995074486101-0.996526212179]
Solution 370	0.9958002647 [0.995074399076-0.996526130417]
Solution 371	0.9958000136 [0.995074143496-0.996525883700]
Solution 372	0.9934071632 [0.992491787042-0.994322539336]
Solution 373	0.9934108857 [0.992495508004-0.994326263345]
Solution 374	0.9934053604 [0.992489933883-0.994320786941]
Solution 375	0.9934091002 [0.992493666492-0.994324533874]
Solution 376	0.9934071754 [0.992491799447-0.994322551335]
Solution 377	0.9934109152 [0.992495532082-0.994326298241]
Solution 378	0.9934065673 [0.992491110407-0.994322024288]
Solution 379	0.9934108857 [0.992495508004-0.994326263345]
Solution 380	0.9934091002 [0.992493666492-0.994324533874]
Solution 381	0.9934109152 [0.992495532082-0.994326298241]
Solution 382	0.9934065673 [0.992491110407-0.994322024288]
Solution 383	0.9934065673 [0.992491110407-0.994322024288]
Solution 384	0.9934108013 [0.992495421624-0.994326180938]
Solution 385	0.9934090432 [0.992493607933-0.994324478553]
Solution 386	0.9934108582 [0.992495473584-0.994326242858]
Solution 387	0.9934064952 [0.992491036362-0.994321953949]
Solution 388	0.9934108013 [0.992495421624-0.994326180938]
Solution 389	0.9934090432 [0.992493607933-0.994324478553]
Solution 390	0.9934108582 [0.992495473584-0.994326242858]
Solution 391	0.9934064952 [0.992491036362-0.994321953949]
Solution 392	0.9934064952 [0.992491036362-0.994321953949]
Solution 393	0.9934064128 [0.992490952048-0.994321873542]
Solution 394	0.9934064128 [0.992490952048-0.994321873542]
Solution 395	0.9934064128 [0.992490952048-0.994321873542]
Solution 396	0.9934108857 [0.992495508004-0.994326263345]
Solution 397	0.9934091002 [0.992493666492-0.994324533874]
Solution 398	0.9934109152 [0.992495532082-0.994326298241]
Solution 399	0.9934065673 [0.992491110407-0.994322024288]
Solution 400	0.9934065673 [0.992491110407-0.994322024288]
Solution 401	0.9934108013 [0.992495421624-0.994326180938]
Solution 402	0.9934090432 [0.992493607933-0.994324478553]
Solution 403	0.9934108582 [0.992495473584-0.994326242858]
Solution 404	0.9934064952 [0.992491036362-0.994321953949]
Solution 405	0.9934064952 [0.992491036362-0.994321953949]
