Candidate	Score
Solution 331	0.9957836768 [0.995057677965-0.996509675550]
Solution 332	0.9957836768 [0.995057677965-0.996509675550]
Solution 333	0.9956287467 [0.994901753245-0.996355740221]
Solution 334	0.9956287467 [0.994901753245-0.996355740221]
Solution 335	0.9958041001 [0.995078375862-0.996529824330]
Solution 336	0.9958041001 [0.995078375862-0.996529824330]
Solution 337	0.9958041001 [0.995078375862-0.996529824330]
Solution 338	0.9958041001 [0.995078375862-0.996529824330]
Solution 339	0.9958041001 [0.995078375862-0.996529824330]
Solution 340	0.9958038469 [0.995078118229-0.996529575599]
Solution 341	0.9958038469 [0.995078118229-0.996529575599]
Solution 342	0.9958038469 [0.995078118229-0.996529575599]
Solution 343	0.9958038469 [0.995078118229-0.996529575599]
Solution 344	0.9958038469 [0.995078118229-0.996529575599]
Solution 345	0.9957845156 [0.995058397213-0.996510634014]
Solution 346	0.9957845156 [0.995058397213-0.996510634014]
Solution 347	0.9957845156 [0.995058397213-0.996510634014]
Solution 348	0.9957842573 [0.995058134381-0.996510380314]
Solution 349	0.9957842573 [0.995058134381-0.996510380314]
Solution 350	0.9957798607 [0.995053704226-0.996506017228]
Solution 351	0.9957798607 [0.995053704226-0.996506017228]
Solution 352	0.9957845156 [0.995058397213-0.996510634014]
Solution 353	0.9957845156 [0.995058397213-0.996510634014]
Solution 354	0.9957842573 [0.995058134381-0.996510380314]
Solution 355	0.9957842573 [0.995058134381-0.996510380314]
Solution 356	0.9957842573 [0.995058134381-0.996510380314]
Solution 357	0.9957798607 [0.995053704226-0.996506017228]
Solution 358	0.9957798607 [0.995053704226-0.996506017228]
Solution 359	0.9957798607 [0.995053704226-0.996506017228]
Solution 360	0.9957845156 [0.995058397213-0.996510634014]
Solution 361	0.9957845156 [0.995058397213-0.996510634014]
Solution 362	0.9957845156 [0.995058397213-0.996510634014]
Solution 363	0.9957842573 [0.995058134381-0.996510380314]
Solution 364	0.9957798607 [0.995053704226-0.996506017228]
Solution 365	0.9957842573 [0.995058134381-0.996510380314]
Solution 366	0.9957798607 [0.995053704226-0.996506017228]
Solution 367	0.9957842573 [0.995058134381-0.996510380314]
Solution 368	0.9957798607 [0.995053704226-0.996506017228]
Solution 369	0.9957845156 [0.995058397213-0.996510634014]
Solution 370	0.9957842573 [0.995058134381-0.996510380314]
Solution 371	0.9957798607 [0.995053704226-0.996506017228]
Solution 372	0.9934093737 [0.992494062220-0.994324685182]
Solution 373	0.9934035403 [0.992488154014-0.994318926685]
Solution 374	0.9934093737 [0.992494062220-0.994324685182]
Solution 375	0.9934035403 [0.992488154014-0.994318926685]
Solution 376	0.9934094052 [0.992494088834-0.994324721609]
Solution 377	0.9934131277 [0.992497809417-0.994328445997]
Solution 378	0.9933992444 [0.992483779049-0.994314709736]
Solution 379	0.9934035403 [0.992488154014-0.994318926685]
Solution 380	0.9934035403 [0.992488154014-0.994318926685]
Solution 381	0.9934131277 [0.992497809417-0.994328445997]
Solution 382	0.9933992444 [0.992483779049-0.994314709736]
Solution 383	0.9933992444 [0.992483779049-0.994314709736]
Solution 384	0.9934031570 [0.992487766429-0.994318547608]
Solution 385	0.9934031570 [0.992487766429-0.994318547608]
Solution 386	0.9934130433 [0.992497723113-0.994328363513]
Solution 387	0.9933991549 [0.992483687520-0.994314622309]
Solution 388	0.9934031570 [0.992487766429-0.994318547608]
Solution 389	0.9934031570 [0.992487766429-0.994318547608]
Solution 390	0.9934130433 [0.992497723113-0.994328363513]
Solution 391	0.9933991549 [0.992483687520-0.994314622309]
Solution 392	0.9933991549 [0.992483687520-0.994314622309]
Solution 393	0.9933987584 [0.992483286413-0.994314230316]
Solution 394	0.9933987584 [0.992483286413-0.994314230316]
Solution 395	0.9933987584 [0.992483286413-0.994314230316]
Solution 396	0.9934035403 [0.992488154014-0.994318926685]
Solution 397	0.9934035403 [0.992488154014-0.994318926685]
Solution 398	0.9934131277 [0.992497809417-0.994328445997]
Solution 399	0.9933992444 [0.992483779049-0.994314709736]
Solution 400	0.9933992444 [0.992483779049-0.994314709736]
Solution 401	0.9934031570 [0.992487766429-0.994318547608]
Solution 402	0.9934031570 [0.992487766429-0.994318547608]
Solution 403	0.9934130433 [0.992497723113-0.994328363513]
Solution 404	0.9933991549 [0.992483687520-0.994314622309]
Solution 405	0.9933991549 [0.992483687520-0.994314622309]
Solution 406	0.9933987584 [0.992483286413-0.994314230316]
Solution 407	0.9933987584 [0.992483286413-0.994314230316]
Solution 408	0.9933992444 [0.992483779049-0.994314709736]
Solution 409	0.9933991549 [0.992483687520-0.994314622309]
Solution 410	0.9933987584 [0.992483286413-0.994314230316]
Solution 411	0.9942496915 [0.993342612210-0.995156770740]
Solution 412	0.9944068910 [0.993500565021-0.995313216949]
Solution 413	0.9942496915 [0.993342612210-0.995156770740]
Solution 414	0.9944068910 [0.993500565021-0.995313216949]
Solution 415	0.9942514810 [0.993344344330-0.995158617738]
Solution 416	0.9944168871 [0.993510610950-0.995323163238]
Solution 417	0.9944034837 [0.993497039855-0.995309927558]
Solution 418	0.9944068910 [0.993500565021-0.995313216949]
Solution 419	0.9944068910 [0.993500565021-0.995313216949]
Solution 420	0.9944168871 [0.993510610950-0.995323163238]
Solution 421	0.9944034837 [0.993497039855-0.995309927558]
Solution 422	0.9944034837 [0.993497039855-0.995309927558]
Solution 423	0.9944027425 [0.993496393685-0.995309091240]
Solution 424	0.9944027425 [0.993496393685-0.995309091240]
Solution 425	0.9944166339 [0.993510354358-0.995322913466]
Solution 426	0.9944032254 [0.993496778089-0.995309672791]
Solution 427	0.9944027425 [0.993496393685-0.995309091240]
Solution 428	0.9944027425 [0.993496393685-0.995309091240]
Solution 429	0.9944166339 [0.993510354358-0.995322913466]
Solution 430	0.9944032254 [0.993496778089-0.995309672791]
Solution 431	0.9944032254 [0.993496778089-0.995309672791]
Solution 432	0.9943990637 [0.993492593302-0.995305534097]
Solution 433	0.9943990637 [0.993492593302-0.995305534097]
Solution 434	0.9943990637 [0.993492593302-0.995305534097]
Solution 435	0.9944068910 [0.993500565021-0.995313216949]
